"","GEO.id","GEO.id2","GEO.display.label","YEAR","HC01_VC03","HC01_VC04","HC01_VC06","HC01_VC07","HC01_VC08","HC01_VC09","HC01_VC10","HC01_VC11","HC01_VC12","HC01_VC75","HC01_VC85","HC01_VC86","HC01_VC87","HC01_VC88","HC01_VC89","HC01_VC90","HC01_VC91"
"213","1400000US11001002201",11001002201,"Census Tract 22.01, District of Columbia, District of Columbia","2012",1052,753,201,376,131,27,11,350,59,1070,245,286,749,424,55,492,208
"214","1400000US11001002202",11001002202,"Census Tract 22.02, District of Columbia, District of Columbia","2012",1292,645,407,208,131,86,79,351,197,1070,173,129,676,526,40,423,233
"215","1400000US11001002301",11001002301,"Census Tract 23.01, District of Columbia, District of Columbia","2012",1063,589,222,203,46,76,41,310,135,621,116,290,572,257,69,407,464
"216","1400000US11001002302",11001002302,"Census Tract 23.02, District of Columbia, District of Columbia","2012",759,120,54,58,17,11,11,51,26,404,58,98,283,252,40,194,358
"217","1400000US11001002400",11001002400,"Census Tract 24, District of Columbia, District of Columbia","2012",1237,705,317,363,178,41,8,301,131,912,225,190,779,424,75,508,466
"218","1400000US11001002501",11001002501,"Census Tract 25.01, District of Columbia, District of Columbia","2012",928,355,193,163,117,46,20,146,56,471,143,272,331,185,114,210,307
"219","1400000US11001002502",11001002502,"Census Tract 25.02, District of Columbia, District of Columbia","2012",2000,906,428,495,254,72,29,339,145,1010,529,348,1043,458,86,391,600
"220","1400000US11001002600",11001002600,"Census Tract 26, District of Columbia, District of Columbia","2012",987,608,228,497,166,23,10,88,52,636,7,27,100,285,131,562,790
"221","1400000US11001002701",11001002701,"Census Tract 27.01, District of Columbia, District of Columbia","2012",2570,751,263,453,69,131,59,167,135,972,205,233,446,334,66,1091,1419
"222","1400000US11001002702",11001002702,"Census Tract 27.02, District of Columbia, District of Columbia","2012",2150,781,284,658,244,44,11,79,29,942,324,227,393,481,94,936,1560
"223","1400000US11001002801",11001002801,"Census Tract 28.01, District of Columbia, District of Columbia","2012",1718,623,302,213,117,162,80,248,105,762,305,239,448,461,96,663,541
"224","1400000US11001002802",11001002802,"Census Tract 28.02, District of Columbia, District of Columbia","2012",1986,777,316,270,102,191,24,316,190,988,712,532,580,483,25,547,589
"225","1400000US11001002900",11001002900,"Census Tract 29, District of Columbia, District of Columbia","2012",1543,694,301,363,168,36,0,295,133,1063,556,164,621,309,94,668,898
"226","1400000US11001003000",11001003000,"Census Tract 30, District of Columbia, District of Columbia","2012",1405,600,258,251,71,53,35,296,152,821,220,172,270,272,63,729,786
