"","GEO.id","GEO.id2","GEO.display.label","YEAR","HC01_VC05","HC01_VC64","HC01_VC117","HC01_VC118","HC01_VC119","HC01_VC120","HC01_VC121","HC01_VC122","HC01_VC123","HC01_VC124","HC01_VC192","HC01_VC193","HC01_VC194","HC01_VC195","HC01_VC196","HC01_VC197"
"557","1400000US11001001302",11001001302,"Census Tract 13.02, District of Columbia, District of Columbia","2014",629,3360,0,0,48,39,210,779,310,121,608,470,325,347,274,1262
"558","1400000US11001001401",11001001401,"Census Tract 14.01, District of Columbia, District of Columbia","2014",58,674,0,0,30,0,11,0,442,280,72,51,104,59,55,333
"559","1400000US11001001402",11001001402,"Census Tract 14.02, District of Columbia, District of Columbia","2014",108,608,0,0,0,0,32,31,707,53,129,32,36,71,67,228
"560","1400000US11001001500",11001001500,"Census Tract 15, District of Columbia, District of Columbia","2014",152,126,0,30,0,0,24,52,1080,677,0,16,0,17,0,93
"561","1400000US11001001600",11001001600,"Census Tract 16, District of Columbia, District of Columbia","2014",209,138,8,21,0,0,8,103,1061,167,0,0,0,17,0,84
"562","1400000US11001001702",11001001702,"Census Tract 17.02, District of Columbia, District of Columbia","2014",0,572,8,0,22,10,170,275,254,21,104,102,67,78,61,123
"563","1400000US11001001803",11001001803,"Census Tract 18.03, District of Columbia, District of Columbia","2014",64,1255,19,0,7,15,63,106,116,24,121,148,157,136,72,579
"564","1400000US11001001804",11001001804,"Census Tract 18.04, District of Columbia, District of Columbia","2014",204,1514,9,0,14,1,30,364,90,13,272,124,139,133,93,686
"565","1400000US11001001901",11001001901,"Census Tract 19.01, District of Columbia, District of Columbia","2014",276,384,30,0,14,8,73,700,177,6,74,0,53,27,33,145
"566","1400000US11001001902",11001001902,"Census Tract 19.02, District of Columbia, District of Columbia","2014",51,145,10,10,0,0,40,411,188,15,40,0,22,0,6,67
"567","1400000US11001002001",11001002001,"Census Tract 20.01, District of Columbia, District of Columbia","2014",75,492,19,0,0,5,55,58,269,62,11,35,47,47,114,198
"568","1400000US11001002002",11001002002,"Census Tract 20.02, District of Columbia, District of Columbia","2014",59,474,17,0,63,50,50,339,366,45,55,57,70,41,9,232
"569","1400000US11001002101",11001002101,"Census Tract 21.01, District of Columbia, District of Columbia","2014",164,1087,85,22,0,79,269,568,21,14,95,147,9,172,26,617
"570","1400000US11001002102",11001002102,"Census Tract 21.02, District of Columbia, District of Columbia","2014",208,969,25,7,9,23,134,724,139,25,218,61,0,51,79,515
"571","1400000US11001002201",11001002201,"Census Tract 22.01, District of Columbia, District of Columbia","2014",80,277,5,0,10,0,121,443,263,0,0,22,33,16,23,143
"572","1400000US11001002202",11001002202,"Census Tract 22.02, District of Columbia, District of Columbia","2014",159,654,11,0,19,31,148,396,63,0,92,33,77,93,61,261
"573","1400000US11001002301",11001002301,"Census Tract 23.01, District of Columbia, District of Columbia","2014",99,313,110,0,0,31,45,395,186,8,15,45,74,33,47,59
"574","1400000US11001002302",11001002302,"Census Tract 23.02, District of Columbia, District of Columbia","2014",314,678,17,0,0,7,86,91,0,0,66,30,157,37,0,368
"575","1400000US11001002400",11001002400,"Census Tract 24, District of Columbia, District of Columbia","2014",100,504,23,0,0,13,28,477,289,6,45,78,37,19,31,212
"576","1400000US11001002501",11001002501,"Census Tract 25.01, District of Columbia, District of Columbia","2014",59,515,0,11,0,0,14,101,329,28,77,35,51,53,56,197
"577","1400000US11001002502",11001002502,"Census Tract 25.02, District of Columbia, District of Columbia","2014",242,1565,13,13,0,21,23,331,357,24,160,191,252,212,72,623
"578","1400000US11001002600",11001002600,"Census Tract 26, District of Columbia, District of Columbia","2014",35,241,0,0,0,0,11,17,499,232,31,52,50,6,29,68
"579","1400000US11001002701",11001002701,"Census Tract 27.01, District of Columbia, District of Columbia","2014",236,1973,0,0,0,19,0,241,361,37,191,228,324,356,189,646
"580","1400000US11001002702",11001002702,"Census Tract 27.02, District of Columbia, District of Columbia","2014",154,1428,6,0,0,0,45,171,546,84,262,238,217,126,83,411
"581","1400000US11001002801",11001002801,"Census Tract 28.01, District of Columbia, District of Columbia","2014",122,1444,6,10,0,0,54,185,80,6,51,108,164,276,200,614
"582","1400000US11001002802",11001002802,"Census Tract 28.02, District of Columbia, District of Columbia","2014",115,1713,0,8,0,18,63,101,124,0,275,140,205,307,69,661
"583","1400000US11001002900",11001002900,"Census Tract 29, District of Columbia, District of Columbia","2014",137,920,38,0,0,0,88,199,388,7,119,212,168,79,89,218
"584","1400000US11001003000",11001003000,"Census Tract 30, District of Columbia, District of Columbia","2014",116,1023,13,0,0,7,27,165,209,43,80,157,149,105,71,412
"585","1400000US11001003100",11001003100,"Census Tract 31, District of Columbia, District of Columbia","2014",167,515,0,26,0,0,104,312,125,0,98,98,125,62,19,104
"586","1400000US11001003200",11001003200,"Census Tract 32, District of Columbia, District of Columbia","2014",255,801,21,9,15,43,139,449,175,11,178,35,92,62,89,327
"587","1400000US11001003301",11001003301,"Census Tract 33.01, District of Columbia, District of Columbia","2014",158,554,12,0,34,0,52,294,504,16,0,83,86,77,59,205
"588","1400000US11001003302",11001003302,"Census Tract 33.02, District of Columbia, District of Columbia","2014",97,387,4,0,0,0,16,166,327,20,34,45,50,87,65,106
"589","1400000US11001003400",11001003400,"Census Tract 34, District of Columbia, District of Columbia","2014",241,638,10,9,14,0,58,126,259,40,65,115,53,111,15,206
"590","1400000US11001003500",11001003500,"Census Tract 35, District of Columbia, District of Columbia","2014",86,649,4,0,0,0,69,260,159,0,120,38,64,88,63,184
"591","1400000US11001003600",11001003600,"Census Tract 36, District of Columbia, District of Columbia","2014",319,1316,0,0,0,0,0,200,417,29,164,285,152,144,179,377
"592","1400000US11001003700",11001003700,"Census Tract 37, District of Columbia, District of Columbia","2014",208,1834,0,0,0,40,85,201,200,40,81,376,186,233,240,644
"593","1400000US11001003800",11001003800,"Census Tract 38, District of Columbia, District of Columbia","2014",128,1927,0,0,0,16,84,179,491,5,310,434,306,176,127,524
