2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
1876*,1990*,1972*,1963*,1930*,1925*,1898*,2006*,1980*,1986*,1971*,1970*,1876*,1990*,1972*,1963*,1930*,1925*,1898*,2006*,1980*,1986*,1971*,1970*,1876*,1990*,1972*,1963*,1930*,1925*,1898*,2006*,1980*,1986*,1971*,1970*,1876*,1990*,1972*,1963*,1930*,1925*,1898*,2006*,1980*,1986*,1971*,1970*
-18,-17,-11,-5,2,6,13,13,10,1,-2,-9,-18,-17,-11,-5,2,6,13,13,10,1,-2,-9,-18,-17,-11,-5,2,6,13,13,10,1,-2,-9,-18,-17,-11,-5,2,6,13,13,10,1,-2,-9
1899*,1904*,1925*,1907*,1945*,1897*,1940*,1895*,1895*,1899*,1923*,1886*,1899*,1904*,1925*,1907*,1945*,1897*,1940*,1895*,1895*,1899*,1923*,1886*,1899*,1904*,1925*,1907*,1945*,1897*,1940*,1895*,1895*,1899*,1923*,1886*,1899*,1904*,1925*,1907*,1945*,1897*,1940*,1895*,1895*,1899*,1923*,1886*
0,0.23,0.86,0.2,0.05,0,0,0,0.13,1.09,0,0.05,0,0.05,0,0,0,0.3,0.43,0,0.28,0,0,0,0.86,0,0.58,0,0,0,0.1,0.15,0.2,0,0,1.45,0,0.23,0,0,0,1.17,0.05,0,0,2.44,0,0.56
0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8,10,6,0,0,0,0,0,0,9,10,16,22,16,10,4,0,0,0,0,0,2,10,16,8,11,4,0,0,0,0,0,0,8,12,12,14,14,4,0,0,0,0,0,6,3,6
0,0,0,0,0,2,12,12,8,2,0,0,0,0,0,0,0,8,8,8,10,6,0,0,0,0,0,0,0,3,13,6,12,4,0,0,0,0,0,0,0,1,5,10,11,0,0,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,11,17,23,27,27,37,36,29,28,10,22,3,2,7,12,20,28,31,28,31,30,15,13,1,10,3,21,23,30,33,29,32,23,19,13,6,4,5,23,29,18,28,34,36,14,22,12
-6,3,9,6,13,14,24,24,24,21,5,7,-1,-3,-1,1,9,21,23,21,21,18,7,5,-8,1,-8,12,14,19,24,21,25,18,7,4,1,-4,-1,16,13,15,19,22,23,10,8,6
-2,7,13,14,20,20,30,30,26,24,8,14,1,0,3,6,14,24,27,24,26,24,11,9,-4,6,-2,16,18,24,28,25,28,20,13,8,4,0,2,20,21,16,24,28,30,12,15,9
6,7,11,17,22,27,31,31,29,23,17,10,6,7,11,17,22,27,31,31,29,23,17,10,6,7,11,17,22,27,31,31,29,23,17,10,6,7,11,17,22,27,31,31,29,23,17,10
-2,-2,1,6,11,17,21,22,19,13,7,2,-2,-2,1,6,11,17,21,22,19,13,7,2,-2,-2,1,6,11,17,21,22,19,13,7,2,-2,-2,1,6,11,17,21,22,19,13,7,2
2,3,6,12,17,22,26,26,24,18,12,6,2,3,6,12,17,22,26,26,24,18,12,6,2,3,6,12,17,22,26,26,24,18,12,6,2,3,6,12,17,22,26,26,24,18,12,6
-4,4,7,2,3,-2,4,4,2,6,-4,8,-1,-3,-3,-6,-3,2,1,-2,2,6,-1,3,-6,3,-8,4,1,2,2,-1,4,2,1,2,2,-3,-4,8,4,-6,-2,2,6,-6,3,3
20,18,26,31,33,37,38,38,37,33,27,22,20,18,26,31,33,37,38,38,37,33,27,22,20,18,26,31,33,37,38,38,37,33,27,22,20,18,26,31,33,37,38,38,37,33,27,22
2004*,1927*,1923*,1963*,1965*,1925*,1966*,2006*,1953*,1879*,1974*,2012*,2004*,1927*,1923*,1963*,1965*,1925*,1966*,2006*,1953*,1879*,1974*,2012*,2004*,1927*,1923*,1963*,1965*,1925*,1966*,2006*,1953*,1879*,1974*,2012*,2004*,1927*,1923*,1963*,1965*,1925*,1966*,2006*,1953*,1879*,1974*,2012*
-21,-18,-12,-3,2,7,12,13,9,2,-2,-9,-21,-18,-12,-3,2,7,12,13,9,2,-2,-9,-21,-18,-12,-3,2,7,12,13,9,2,-2,-9,-21,-18,-12,-3,2,7,12,13,9,2,-2,-9
1877*,1895*,1925*,1906*,1909*,1910*,1918*,1920*,1909*,1899*,1917*,1976*,1877*,1895*,1925*,1906*,1909*,1910*,1918*,1920*,1909*,1899*,1917*,1976*,1877*,1895*,1925*,1906*,1909*,1910*,1918*,1920*,1909*,1899*,1917*,1976*,1877*,1895*,1925*,1906*,1909*,1910*,1918*,1920*,1909*,1899*,1917*,1976*
0,0,0.41,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,1.07,0.38,0.08,0,0,0,0,0,3.76,1.4,0,0,0.03,0.91,1.14,0,0.23,0,0.13,1.27,0,0.1,0.48,0,0.03,0.08,0,0,0.48,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,11,5,4,0,0,0,0,0,0,10,4,17,18,15,12,4,0,0,0,0,0,7,9,22,12,20,2,0,0,0,0,0,0,5,10,14,18,16,0,0,2,0,0,0,6,3,9
