STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
997314,99999, 20120202,   53.4,24, 9999.9, 0, 1016.7,24, 9999.9, 0, 999.9, 0,   4.3,21,  16.9, 999.9,   61.7*,  48.6*, 0.00I,999.9, 000000,
997314,99999, 20120203,   43.9,24, 9999.9, 0, 1029.4,24, 9999.9, 0, 999.9, 0,   7.8,24,  14.0, 999.9,   49.8*,  37.9*, 0.00I,999.9, 000000,
997314,99999, 20120204,   40.9,24, 9999.9, 0, 1026.0,24, 9999.9, 0, 999.9, 0,   2.1,23,   5.1, 999.9,   45.7*,  37.9*, 0.00I,999.9, 000000,
997314,99999, 20120205,   39.7,24, 9999.9, 0, 1020.6,24, 9999.9, 0, 999.9, 0,   3.6,24,   7.0, 999.9,   44.2*,  37.4*, 0.00I,999.9, 000000,
997314,99999, 20120206,   40.0,24, 9999.9, 0, 1023.0,24, 9999.9, 0, 999.9, 0,   4.0,24,  13.0, 999.9,   50.4*,  33.1*, 0.00I,999.9, 000000,
997314,99999, 20120207,   47.4,19, 9999.9, 0, 1019.9,19, 9999.9, 0, 999.9, 0,   6.0,18,  11.1, 999.9,   54.7*,  41.7*, 0.00I,999.9, 000000,
997314,99999, 20120208,   42.0,24, 9999.9, 0, 1023.2,24, 9999.9, 0, 999.9, 0,   2.5,24,   5.1, 999.9,   52.7*,  37.4*, 0.00I,999.9, 000000,
997314,99999, 20120209,   38.0,23, 9999.9, 0, 1022.5,23, 9999.9, 0, 999.9, 0,   7.1,23,  13.0, 999.9,   46.0*,  34.2*, 0.00I,999.9, 000000,
997314,99999, 20120210,   40.6,24, 9999.9, 0, 1020.7,24, 9999.9, 0, 999.9, 0,   3.2,23,   9.9, 999.9,   45.3*,  36.1*, 0.00I,999.9, 000000,
997314,99999, 20120211,   38.8,24, 9999.9, 0, 1009.6,24, 9999.9, 0, 999.9, 0,   6.1,23,  21.0, 999.9,   44.1*,  33.8*, 0.00I,999.9, 000000,
997314,99999, 20120212,   27.0,24, 9999.9, 0, 1015.7,24, 9999.9, 0, 999.9, 0,  15.4,24,  22.9, 999.9,   31.8*,  23.4*, 0.00I,999.9, 000000,
997314,99999, 20120213,   33.3,24, 9999.9, 0, 1020.9,24, 9999.9, 0, 999.9, 0,   6.6,24,  12.0, 999.9,   47.5*,  26.1*, 0.00I,999.9, 000000,
